PRIM_STATE,NAICS_TITLE,OCC_TITLE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
US,"Arts, Entertainment, and Recreation",Supervisors of Transportation and Material Moving Workers,32350,40200,50790,62560,78520
US,"Mining, Quarrying, and Oil and Gas Extraction","Sales Representatives, Wholesale and Manufacturing",47860,61600,87810,107460,153600
US,Finance and Insurance,Physical Scientists,59240,63050,89740,126320,149070
US,Administrative and Support and Waste Management and Remediation Services,"Architects, Surveyors, and Cartographers",37320,47630,60550,77450,98990
US,Manufacturing,Supervisors of Protective Service Workers,50130,63840,81770,104530,133180
US,Other Services (except Public Administration),Supervisors of Construction and Extraction Workers,38030,48470,62130,78680,114150
US,Health Care and Social Assistance,Life Scientists,49500,62800,81690,125540,153130
RI,Cross-industry,Community and Social Service Occupations,30600,38320,48960,76410,81020
US,Retail Trade,Community and Social Service Occupations,28030,30910,37310,47600,61920
US,Other Services (except Public Administration),Extraction Workers,31470,38000,46120,51950,74320
US,Cross-industry,Entertainment Attendants and Related Workers,18010,21420,24960,29760,36890
US,Health Care and Social Assistance,"Counselors, Social Workers, and Other Community and Social Service Specialists",29370,36750,46290,59770,76920
US,"Professional, Scientific, and Technical Services","Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",22370,23780,28350,36300,46300
NJ,Cross-industry,Office and Administrative Support Occupations,28990,36060,46050,58620,67230
US,Information,Entertainment Attendants and Related Workers,17990,20840,23470,29330,35760
NH,Cross-industry,Computer and Mathematical Occupations,48220,62780,92460,121130,152440
US,"Mining, Quarrying, and Oil and Gas Extraction","Other Installation, Maintenance, and Repair Occupations",36810,46640,59790,76220,94080
DE,Cross-industry,Food Preparation and Serving Related Occupations,21500,22710,27320,33740,43740
US,Manufacturing,Printing Workers,28690,30430,37960,47640,59630
WA,Cross-industry,Architecture and Engineering Occupations,60460,76940,98500,127130,159190
US,Information,Art and Design Workers,36400,48060,71730,102260,157550
MI,Cross-industry,Architecture and Engineering Occupations,48290,61550,79010,100250,127130
ID,Cross-industry,Personal Care and Service Occupations,17980,20000,26040,33230,48090
VA,Cross-industry,"Farming, Fishing, and Forestry Occupations",23030,28580,32780,41870,50220
NY,Cross-industry,Transportation and Material Moving Occupations,28970,30320,38280,55510,78060
VA,Cross-industry,"Arts, Design, Entertainment, Sports, and Media Occupations",28780,37600,57540,80000,105330
AR,Cross-industry,Business and Financial Operations Occupations,30760,42900,60550,79400,104030
US,Real Estate and Rental and Leasing,"Entertainers and Performers, Sports and Related Workers",30150,55000,82380,102660,134320
US,Wholesale Trade,"Life, Physical, and Social Science Occupations",37690,49200,75410,105500,166830
US,Cross-industry,Office and Administrative Support Occupations,28010,30180,38050,48490,62420
US,Administrative and Support and Waste Management and Remediation Services,Personal Appearance Workers,23250,34940,47330,61340,81240
US,Management of Companies and Enterprises,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",35010,41330,59260,76220,78890
US,Finance and Insurance,Animal Care and Service Workers,83560,84260,85950,93010,93140
US,Manufacturing,Personal Appearance Workers,35070,35860,37580,45450,45460
US,"Arts, Entertainment, and Recreation",Communications Equipment Operators,22580,24830,28990,29990,36980
AZ,Cross-industry,"Farming, Fishing, and Forestry Occupations",28300,28410,29280,33470,45460
US,Health Care and Social Assistance,Other Personal Care and Service Workers,20260,23130,28870,31680,37980
NJ,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,24960,29320,35450,43430,49620
TX,Cross-industry,Computer and Mathematical Occupations,44930,60860,89880,125930,155150
US,Retail Trade,Office and Administrative Support Occupations,23640,28990,33280,41010,56410
US,Finance and Insurance,Other Teachers and Instructors,46760,46760,56480,73530,125390
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Rail Transportation Workers,49960,61890,76800,81980,82160
US,Health Care and Social Assistance,Other Office and Administrative Support Workers,24060,29650,37050,46570,50190
